text,label
"I love this! It’s amazing.",positive
"Terrible service, very disappointed.",negative
"It was okay, nothing special.",neutral
"Absolutely fantastic experience!",positive
"The product stopped working after a week.",negative
"It’s alright, could be better.",neutral
"Superb quality and fast delivery.",positive
"Horrible packaging, item was damaged.",negative
"Average, meets basic expectations.",neutral
"Exceeded my expectations!",positive
"Not worth the price.",negative
"It worked fine, just as expected.",neutral
"This is the best thing I’ve bought.",positive
"I want a refund, this is terrible.",negative
"Pretty neutral about this item.",neutral
"Great customer service and support.",positive
"The app keeps crashing. Useless.",negative
"Fine product, does the job.",neutral
"High quality, I’m impressed!",positive
"Worst purchase I’ve ever made.",negative
"It’s decent, not too bad.",neutral
"I love the design and performance!",positive
"Shipping took forever, not happy.",negative
"The performance is average.",neutral
"Super happy with this product.",positive
"Didn't meet my expectations at all.",negative
"Neutral feelings, not good not bad.",neutral
"This really made my day better!",positive
"Item was missing from the box.",negative
"I feel indifferent about this.",neutral
"Absolutely loved it!",positive
"Such poor build quality.",negative
"It’s usable but not exciting.",neutral
"Amazing features, very helpful.",positive
"Completely broke after 2 days.",negative
"Just okay. Nothing to rave about.",neutral
"Fantastic product and support.",positive
"This was a huge letdown.",negative
"Feels average to me.",neutral
"Perfect! Exactly what I wanted.",positive
"Didn’t work. Waste of money.",negative
"I guess it’s okay.",neutral
"I’m extremely satisfied!",positive
"Cheaply made and unreliable.",negative
"Neither good nor bad.",neutral
"Five stars! Highly recommend.",positive
"Very unhappy with this.",negative
"I don’t have any strong opinions.",neutral
"Super smooth and user friendly.",positive
"Battery life is terrible.",negative
"It performs moderately well.",neutral
"Beautiful and well-built.",positive
"Arrived damaged. Not impressed.",negative
"It’s neutral in every sense.",neutral
"One of my favorite purchases.",positive
"Regret buying this.",negative
"I feel okay about this.",neutral
"Amazing quality and looks good too.",positive
"Support team didn’t help at all.",negative
"It’s just a basic product.",neutral
"Wow, so convenient to use!",positive
"Not at all what I expected.",negative
"Fair experience overall.",neutral
"Best product I’ve used so far!",positive
"Really disappointed with the quality.",negative
"I feel neither positive nor negative.",neutral
"Great deal for the price!",positive
"Broke down within hours.",negative
"Neutral vibes from this one.",neutral
"Excellent design and usability!",positive
"This was a mistake purchase.",negative
"I don’t mind using this.",neutral
"Top-notch performance!",positive
"Didn’t deliver what was promised.",negative
"Can’t say I love or hate it.",neutral
"Incredible value for money.",positive
"Defective on arrival.",negative
"It functions as expected.",neutral
"Mind-blowing features!",positive
"Poor response from the company.",negative
"Just another average item.",neutral
"Loved everything about it.",positive
"Did not work as described.",negative
"It’s just passable.",neutral
"I’m so happy with this!",positive
"Very poor craftsmanship.",negative
"Indifferent about the results.",neutral
"This is everything I needed.",positive
"Nothing worked. Total failure.",negative
"I feel fine using this.",neutral
"Such a satisfying experience!",positive
"Complete waste of resources.",negative
"Not good, not bad, just there.",neutral
"One of the best I’ve used!",positive
"Had a terrible time using it.",negative
"It’s in the middle for me.",neutral
"Absolutely nailed it!",positive
"Too many issues and bugs.",negative
"It’s neutral overall.",neutral
